fName1,mName1,lName1,1111111111,testEmail2@gmail.com,testUser1,1,CS
fName2,mName2,lName2,2222222222,testEmail2@gmail.com,testUser2,1,CS
fName3,mName3,lName3,3333333333,testEmail2@gmail.com,testUser3,1,CS
fName4,mName4,lName4,4444444444,testEmail2@gmail.com,testUser4,1,CS
fName5,mName5,lName5,5555555555,testEmail2@gmail.com,testUser5,1,CS
fName6,mName6,lName6,6666666666,testEmail2@gmail.com,testUser6,1,CS
fName7,mName7,lName7,7777777777,testEmail2@gmail.com,testUser7,1,CS
fName8,mName8,lName8,8888888888,testEmail2@gmail.com,testUser8,1,CS
fName9,mName9,lName9,9999999999,testEmail2@gmail.com,testUser9,1,CS
fName10,mName10,lName10,1212121212,testEmail2@gmail.com,testUser10,1,CS
